,eco,opening,white,black,white_elo,black_elo,result,time_control,termination,date,moves,num_moves
2134,D02,,maxwell573,SuoknuutiMax,546,553,1-0,180,maxwell573 won by resignation,2025.09.27,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'Nf6', 'Nf3', 'Bg4', 'Bd3', 'Qd7', 'h3', 'Bf5']",12
2135,B01,,vini0440G,SuoknuutiMax,564,561,0-1,180,SuoknuutiMax won by checkmate,2025.09.27,"['e4', 'd5', 'Nf3', 'dxe4', 'Ng5', 'Nf6', 'd3', 'exd3', 'Bxd3', 'g6', 'Ne4', 'Nxe4', 'Bxe4', 'Qxd1+', 'Kxd1', 'Bg7', 'Nc3', 'Bxc3', 'bxc3', 'Bf5', 'Bxf5', 'gxf5', 'Bb2', 'O-O', 'Kd2', 'Rd8+', 'Kc1', 'Nc6', 'Ba3', 'Kg7', 'Kb2', 'Kg6', 'Rad1', 'Rxd1', 'Rxd1', 'e6', 'Kc1', 'Rd8', 'Rxd8', 'Nxd8', 'Be7', 'Nc6', 'Bb4', 'Kg5', 'Bc5', 'Kf4', 'Be3+', 'Ke4', 'Bg5', 'Ne5', 'f3+', 'Kd5', 'f4', 'Ng4', 'h3', 'Nh2', 'h4', 'Ke4', 'g3', 'Kf3', 'c4', 'Kxg3', 'h5', 'Kg4', 'h6', 'Nf3', 'Bd8', 'Kxf4', 'Bxc7+', 'Kg5', 'c5', 'Kxh6', 'Bb8', 'Nd4', 'Bxa7', 'f4', 'a4', 'f3', 'Kd1', 'f5', 'Ke1', 'Nxc2+', 'Kf2', 'Nd4', 'a5', 'Kg5', 'a6', 'bxa6', 'Ke3', 'Nc6', 'Kxf3', 'Nxa7', 'Ke3', 'a5', 'Kd2', 'h5', 'Kc3', 'h4', 'Kc4', 'h3', 'Kb3', 'h2', 'Ka4', 'h1=R', 'Kxa5', 'Rc1', 'Ka6', 'Rxc5', 'Kxa7', 'e5', 'Kb6', 'Rc1', 'Kb5', 'e4', 'Kb4', 'e3', 'Kb3', 'Rc8', 'Kb2', 'Kf6', 'Kb3', 'Ke5', 'Kb4', 'Kd5', 'Kb5', 'Rb8+', 'Ka6', 'Kc5', 'Ka7', 'Rb1', 'Ka6', 'Rb2', 'Ka5', 'Ra2#']",134
2136,B20,,SuoknuutiMax,CharlieG2102,570,590,1-0,180,SuoknuutiMax won - game abandoned,2025.09.27,"['e4', 'c5', 'Qh5', 'e6', 'Nf3', 'Nf6', 'Qe5', 'Nc6', 'Qg5', 'Nxe4', 'Qxd8+', 'Nxd8', 'Bd3', 'Nd6', 'O-O', 'e5', 'Nxe5', 'c4', 'Bxc4', 'Nxc4', 'Nxc4', 'Nc6', 'Re1+', 'Be7', 'Ne5', 'Nd4', 'Na3', 'Bxa3', 'Ng6+', 'Kd8', 'bxa3', 'Nxc2', 'Nxh8', 'Nxe1', 'Bb2', 'Nc2', 'Rc1']",37
2137,C40,,SuoknuutiMax,CherryBootyAss,563,605,0-1,180,CherryBootyAss won by checkmate,2025.09.27,"['e4', 'e5', 'Nf3', 'Bc5', 'Nxe5', 'f6', 'Nd3', 'Bd6', 'Nc3', 'c6', 'b3', 'Qb6', 'Bb2', 'Bc5', 'Be2', 'Bxf2+', 'Nxf2', 'd5', 'exd5', 'cxd5', 'Nxd5', 'Qd6', 'Bh5+', 'g6', 'Bf3', 'Ne7', 'Qe2', 'Nc6', 'Bxf6', 'Be6', 'Bxh8', 'Bxd5', 'Bxd5', 'Qxd5', 'Bf6', 'Qc5', 'Bxe7', 'Nxe7', 'O-O-O', 'Qd4', 'Rhe1', 'Qa1#']",42
2138,B01,,cdragond,SuoknuutiMax,559,555,1-0,180,cdragond won by resignation,2025.09.27,"['e4', 'd5', 'exd5', 'Qxd5', 'b3', 'Qd4', 'c3', 'Qe4+', 'Ne2', 'Bh3', 'gxh3', 'Qxh1', 'Ng3', 'Qxh2', 'Qe2', 'Nf6', 'Ba3', 'Nc6', 'b4', 'O-O-O', 'b5', 'Nb8', 'Bxe7', 'Bxe7', 'Qxe7', 'Qg1', 'Qxf7', 'Rhe8+', 'Ne2', 'Ne4', 'Nxg1']",31
2139,B10,,SuoknuutiMax,Emizinhha,546,528,0-1,180,Emizinhha won - game abandoned,2025.09.27,"['e4', 'c6', 'Nf3', 'e6', 'Nc3', 'd5', 'exd5', 'cxd5', 'Qe2', 'Bd7']",10
2140,B11,,SuoknuutiMax,maximaan,537,511,0-1,420,maximaan won by resignation,2025.09.27,"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'Bg4', 'exd5', 'cxd5', 'h3', 'Bxf3', 'Qxf3', 'e6', 'Bb5+', 'Nd7', 'Na4', 'a6', 'Bxd7+', 'Kxd7', 'Nc5+', 'Bxc5', 'Qxf7+', 'Qe7', 'Qf3', 'Rf8', 'Qb3', 'b6', 'd3', 'Nh6', 'Bxh6', 'gxh6', 'Qa4+', 'Kd8', 'Qxa6', 'Qf6', 'O-O']",35
2141,B01,,SuoknuutiMax,thugdark97149,529,540,0-1,180,thugdark97149 won by resignation,2025.09.28,"['e4', 'd5', 'Qh5', 'd4', 'Qe5', 'Nc6', 'Qd5', 'Bd7', 'c3', 'e6', 'Qb5', 'a6', 'Qxb7', 'Nf6', 'cxd4', 'Nxe4', 'Bxa6', 'Rb8', 'Qxb8', 'Nxb8', 'Nc3', 'Nd6', 'Nf3', 'Nxa6', 'Nb5', 'Nxb5']",26
2142,C41,,SuoknuutiMax,MendikB,521,521,0-1,180,MendikB won by resignation,2025.09.28,"['e4', 'e5', 'Nf3', 'd6', 'Nc3', 'a5', 'Bb5+', 'c6', 'Bc4', 'b5', 'Bxf7+', 'Kxf7', 'Ng5+', 'Ke7', 'd3', 'h6', 'Nf3', 'g5', 'Nxg5', 'hxg5', 'Bxg5+', 'Nf6', 'h4', 'Bh6', 'Bxf6+', 'Kxf6', 'g4', 'Bf4', 'g5+', 'Ke6', 'Qg4+', 'Ke7', 'Qf3', 'Be6', 'Qg2', 'Qd7', 'g6', 'Bg4', 'f3', 'Bh5', 'Ne2', 'Bh6', 'f4', 'exf4', 'O-O-O', 'Rg8', 'Rdf1', 'Rxg6', 'Qf2', 'f3+', 'Nf4', 'Bxf4+']",52
2143,D00,,titi75018,SuoknuutiMax,559,514,1-0,180,titi75018 won by resignation,2025.09.28,"['d4', 'd5', 'Bf4', 'Nc6', 'Nc3', 'Nf6', 'Nb5', 'Rb8', 'Nxc7+', 'Kd7', 'Nb5', 'a6', 'Bc7', 'Qe8', 'Bxb8', 'Nxb8', 'Nc3', 'Kd8', 'Nf3', 'Ne4', 'Nxe4']",21
