,eco,opening,white,black,white_elo,black_elo,result,time_control,termination,date,moves,num_moves
0,D00,,maximaan,albertsiisiainen,596,447,1-0,900+10,maximaan won by resignation,2025.06.03,"['d4', 'd5', 'Bf4', 'Nf6', 'e3', 'Nc6', 'c3', 'Bf5', 'Bd3', 'Bxd3', 'Qxd3', 'Qd7', 'Na3', 'h6', 'Nb5', 'O-O-O', 'Nf3', 'g5', 'Bxc7', 'Re8', 'Ne5', 'Nxe5', 'Bxe5', 'a6', 'Na7+', 'Kd8', 'h3', 'Bg7', 'Bxf6', 'exf6', 'O-O', 'Qc8']",32
1,B12,,albertsiisiainen,maximaan,442,601,0-1,900+10,maximaan won by resignation,2025.06.03,"['e4', 'c6', 'd4', 'd5', 'e5', 'e6', 'Nf3', 'Ne7', 'h3', 'Nf5', 'g4', 'Nh4', 'Bg5', 'Be7', 'Bxh4', 'Bxh4', 'Nxh4', 'Qxh4', 'Nc3', 'O-O', 'Qf3', 'f5', 'Rg1', 'fxg4', 'Qxg4', 'Qxf2+', 'Kd1', 'g6', 'Ne2', 'b6', 'Qg2']",31
2,A40,,maximaan,albertsiisiainen,590,454,0-1,900+10,albertsiisiainen won by resignation,2025.06.05,"['d4', 'g6', 'Bf4', 'Bg7', 'e3', 'Nc6', 'c3', 'b6', 'Nf3', 'Bb7', 'g3', 'd5', 'Bg2', 'e6', 'Ne5', 'f6', 'Nxc6', 'Bxc6', 'Qd3', 'g5', 'Nd2', 'gxf4', 'gxf4', 'Qd6', 'O-O', 'O-O-O', 'Rfe1', 'Ne7', 'e4', 'Ng6', 'f5', 'Nf4', 'Qg3', 'Rhg8', 'e5', 'fxe5', 'dxe5', 'Bxe5', 'Qe3', 'Nxg2', 'Qxe5', 'Nxe1+', 'Kf1', 'Qxe5', 'Rxe1']",45
3,B13,,albertsiisiainen,maximaan,465,579,1-0,900+10,albertsiisiainen won by checkmate,2025.06.05,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'd4', 'e6', 'Nc3', 'Nc6', 'a3', 'Bd6', 'b4', 'b5', 'Qd3', 'a6', 'Bb2', 'Bb7', 'O-O-O', 'Nf6', 'h3', 'h6', 'g4', 'O-O', 'g5', 'Bf4+', 'Kb1', 'hxg5', 'h4', 'Ne7', 'hxg5', 'Bxg5', 'Nxg5', 'Nf5', 'Qh3', 'Nh6', 'Be2', 'Nh7', 'Nxh7', 'Kxh7', 'Bc1', 'Qf6', 'Bxh6', 'gxh6', 'Bd3+', 'Kh8', 'Rdg1', 'Rg8', 'Qxh6+', 'Qxh6', 'Rxh6#']",51
4,A11,,Ronjih,maximaan,368,583,0-1,1800,maximaan won by checkmate,2025.06.05,"['b3', 'c6', 'c4', 'd5', 'd3', 'e5', 'e4', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Bd6', 'Ba3', 'Bxa3', 'Nxa3', 'Nf6', 'f3', 'O-O', 'Ne2', 'Rd8+', 'Ke1', 'Na6', 'g4', 'h6', 'Ng3', 'Nb4', 'Rd1', 'Rxd1+', 'Kxd1', 'Nxa2', 'Nf5', 'Bxf5', 'gxf5', 'Nh5', 'c5', 'Nf4', 'Bc4', 'Nc3+', 'Kc2', 'Nce2', 'Nb1', 'b6', 'b4', 'b5', 'Bb3', 'a5', 'bxa5', 'Rxa5', 'f6', 'Nd4+', 'Kc3', 'Nxb3', 'Kxb3', 'gxf6', 'Rg1+', 'Kh7', 'Kb4', 'Ra4+', 'Kb3', 'h5', 'Nc3', 'Ra8', 'Rd1', 'Kh6', 'Rd7', 'Rf8', 'Rd6', 'Kg5', 'Rxc6', 'Kh4', 'Rxf6', 'Kh3', 'Nxb5', 'Kxh2', 'c6', 'h4', 'c7', 'h3', 'Rxf7', 'Rg8', 'Nd6', 'Kg2', 'Ne8', 'Rxe8', 'Rg7+', 'Kxf3', 'Kc4', 'h2', 'Rh7', 'Kg2', 'Rxh2+', 'Kxh2', 'c8=B', 'Rxc8+', 'Kb5', 'Ng6', 'Kb6', 'Rc1', 'Kb7', 'Re1', 'Kc8', 'Rxe4', 'Kd7', 'Rd4+', 'Ke6', 'e4', 'Kf5', 'e3', 'Kxg6', 'e2', 'Kf5', 'e1=Q', 'Kf6', 'Rd5', 'Kg6', 'Qe4+', 'Kf6', 'Qe5+', 'Kf7', 'Rd6', 'Kg8', 'Qe7', 'Kh8', 'Rd8#']",124
5,B10,,felipedasilva,maximaan,564,591,0-1,900+10,maximaan won by resignation,2025.06.05,"['e4', 'c6', 'Nf3', 'd5', 'd3', 'e6', 'Bg5', 'Be7', 'Qd2', 'Bxg5', 'Qxg5', 'Qxg5', 'Nxg5', 'f6', 'Nf3', 'Nh6', 'exd5', 'cxd5', 'Nc3', 'O-O', 'Nd4', 'Nc6', 'Ndb5', 'a6', 'Nc7', 'Ra7', 'g3', 'b5', 'N7xb5', 'axb5', 'Nxb5', 'Rb7', 'Nc3', 'Nd4', 'O-O-O', 'Ng4', 'Bh3', 'Nxf2', 'Rhe1', 'Nxd1', 'Bxe6+', 'Bxe6', 'Kxd1', 'Rxb2']",44
6,D00,,maximaan,jonas433,583,597,0-1,900+10,jonas433 won by resignation,2025.06.05,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'f6', 'Bd3', 'h5', 'h4', 'Bg4', 'Be2', 'f5', 'f3', 'e6', 'fxg4', 'hxg4', 'h5', 'g5', 'hxg6', 'Rxh1', 'Kf2', 'Bh6', 'Bxh6', 'Nxh6', 'g7', 'Qh4+', 'g3', 'Qh2+', 'Ke1', 'Rxg1+', 'Kd2', 'O-O-O', 'Na3', 'Rxd1+', 'Rxd1', 'Nb4', 'Nb5', 'Qxg3', 'Nxa7+', 'Kb8', 'Nb5', 'e5', 'Rh1', 'Nf7', 'Nc3', 'exd4', 'Nxd5', 'Nxd5', 'exd4', 'Qe3+', 'Kd1', 'Qxd4+', 'Bd3', 'Qxb2', 'Rh7', 'Qb1+', 'Kd2', 'Qb4+', 'Kd1', 'Ne3+', 'Ke2', 'f4', 'g8=Q', 'Rxg8', 'Rxf7', 'Qb2', 'Rxf4', 'Re8', 'Kf2', 'Qc1', 'Bg6', 'Qf1+', 'Kg3', 'Qg2+', 'Kh4', 'Qh3+', 'Kg5', 'Rg8', 'Rf6', 'Rh8', 'Kf4', 'Nd5+', 'Kf5', 'Nxf6', 'Kxf6', 'Rf8+', 'Bf7', 'Qf3+', 'Kg5', 'Rxf7']",90
7,A10,,maximaan,albertsiisiainen,256,456,0-1,900+10,albertsiisiainen won by resignation,2025.06.05,"['c4', 'a5', 'a4', 'Qa6', 'b3', 'Nf6', 'c5', 'b5', 'axb5', 'Qxb5', 'Qc3', 'Nd5', 'Qc4', 'a4', 'd3', 'a3', 'Qxb5', 'Rxb5', 'd4', 'e5', 'e3', 'exd4', 'exd4', 'Bf6', 'Bc3', 'Nxc3', 'Ra1', 'a2', 'Ne2', 'Nxe2+', 'Bxe2', 'Ra5', 'Rd1', 'Ng6', 'b4', 'Ra4', 'Ng3', 'Nf4', 'Bd3', 'Nd5', 'b5', 'Bxd4', 'Rxa2', 'Rxa2', 'Bc4', 'Ra1+', 'Kd2', 'Rxd1+', 'Kxd1', 'Nc3+', 'Kd2', 'Na4', 'Kd3', 'Bxf2', 'Ne4', 'Bxc5', 'Nxc5', 'Nxc5+', 'Kd4', 'Ne6+', 'Kd5']",61
8,A40,,maximaan,albertsiisiainen,583,465,1/2-1/2,900+10,Game drawn by agreement,2025.06.06,"['d4', 'h5', 'g4', 'h4', 'g5']",5
9,A20,,albertsiisiainen,maximaan,476,572,1-0,900+10,albertsiisiainen won by checkmate,2025.06.06,"['c4', 'e5', 'g3', 'f5', 'd4', 'd6', 'dxe5', 'Nc6', 'exd6', 'cxd6', 'Nc3', 'b6', 'Bg2', 'Bb7', 'Nf3', 'Qf6', 'Qa4', 'b5', 'Qxb5', 'Ne7', 'Qxb7', 'Rb8', 'Qa6', 'Nb4', 'Qa4+', 'Nbc6', 'Nh4', 'g6', 'Nd5', 'Qf7', 'Nxe7', 'Bxe7', 'Qxc6+', 'Kf8', 'O-O', 'Kg7', 'Bf4', 'Rhc8', 'Qd5', 'Rxc4', 'Qxf7+', 'Kxf7', 'Rac1', 'Rbc8', 'Rxc4', 'Rxc4', 'Bd5+', 'Kf6', 'Bxc4', 'g5', 'Bxg5+', 'Kxg5', 'f4+', 'Kg4', 'Be6', 'Bxh4', 'Rd1', 'h5', 'Rd5', 'Bxg3', 'Bxf5+', 'Kxf4', 'Bg6', 'h4', 'Rxd6', 'Ke3', 'hxg3', 'hxg3', 'Rf6', 'Kxe2', 'Bc2', 'Ke3', 'Kg2', 'Ke2', 'Kxg3', 'Kd2', 'Rc6', 'Kc1', 'b4', 'Kb2', 'b5', 'Kxa2', 'Ra6+', 'Kb2', 'Rxa7', 'Kxc2', 'b6', 'Kc1', 'b7', 'Kd1', 'b8=Q', 'Ke1', 'Rc7', 'Kf1', 'Qc8', 'Kg1', 'Rc1#']",97
10,A00,,albertsiisiainen,maximaan,478,570,1/2-1/2,900+10,Game drawn by repetition,2025.06.06,"['h4', 'c6', 'h5', 'Nh6', 'Rh4', 'd5', 'a4', 'e6', 'g3', 'Be7', 'Rh3', 'Na6', 'a5', 'Nb4', 'Ra4', 'c5', 'c3', 'Bd7', 'cxb4', 'e5', 'bxc5', 'Bxc5', 'b4', 'Be7', 'Nc3', 'd4', 'Nd5', 'Bxh3', 'Bxh3', 'Qxd5', 'Qc2', 'O-O', 'Qc7', 'Qh1', 'Kf1', 'Rfe8', 'Qxe5', 'Bf6', 'Qc5', 'g6', 'f3', 'Nf5', 'Bxf5', 'gxf5', 'Qxf5', 'd3', 'Qg4+', 'Bg7', 'exd3', 'Rad8', 'h6', 'Rxd3', 'hxg7', 'Qh6', 'b5', 'Qxg7', 'Qxg7+', 'Kxg7', 'Rg4+', 'Kh6', 'Rh4+', 'Kg7', 'Bb2+', 'Kg8', 'Rg4+', 'Kf8', 'Bg7+', 'Kg8', 'Bd4+', 'Kf8', 'Bxa7', 'Rxd2', 'Nh3', 'Rd1+', 'Kf2', 'Rd2+', 'Kf1', 'Rd1+', 'Kg2', 'Rd2+', 'Nf2', 'Rc2', 'a6', 'bxa6', 'bxa6', 'Ra2', 'Rb4', 'Rxa6', 'Bb6', 'h5', 'Ne4', 'f5', 'Ng5', 'Re2+', 'Kh3', 'Kg7', 'Bd4+', 'Kg6', 'Ne4', 'fxe4', 'fxe4', 'Rxe4', 'Rb6+', 'Rxb6', 'Bxb6', 'Re6', 'Bc7', 'Kg5', 'Bd8+', 'Kh6', 'Bh4', 'Re1', 'Bd8', 'Rh1+', 'Kg2', 'Rd1', 'Ba5', 'Kg5', 'Kh3', 'Rh1+', 'Kg2', 'Ra1', 'Bc3', 'Ra3', 'Be5', 'Kg4', 'Bc7', 'Ra2+', 'Kf1', 'Kf3', 'Kg1', 'Rg2+', 'Kh1', 'Rc2', 'Bd6', 'Rd2', 'Be5', 'Ke4', 'Bf4', 'Rd1+', 'Kg2', 'Kf5', 'Kh3', 'Rh1+', 'Kg2', 'Rd1', 'Kh3', 'Rh1+', 'Kg2', 'Rb1', 'Kh3', 'Rb4', 'Be3', 'Ke4', 'Bf4', 'Kf5', 'Bh6', 'Kg6', 'Bf4', 'Kf5']",160
11,C23,,maximaan,siisiainen,559,670,0-1,900+10,siisiainen won by resignation,2025.06.08,"['e4', 'e5', 'Bc4', 'a6', 'd3', 'b5', 'Bb3', 'Bb7', 'Nf3', 'h6', 'Nxe5', 'Qe7', 'Bf4', 'g5', 'Bg3', 'Bg7', 'Qh5', 'Bxe5', 'Bxe5', 'Qxe5', 'Qxf7+', 'Kd8', 'Qf8+', 'Qe8', 'Qxe8+', 'Kxe8', 'O-O', 'Nc6', 'Nc3', 'Nf6', 'h3', 'Nd4', 'f4', 'gxf4', 'Rxf4', 'Nxb3', 'axb3', 'Nh5', 'Rff1', 'c5', 'g4', 'Ng3', 'Rf6', 'b4', 'Nd5', 'Bxd5', 'exd5', 'Ne2+', 'Kh2', 'Rf8', 'Rxf8+', 'Kxf8', 'd6', 'Re8', 'Rxa6', 'Nc1', 'Ra7', 'Re2+', 'Kg3', 'Rxc2', 'Rxd7', 'Rxb2', 'Rc7', 'Rxb3', 'd7', 'Ke7', 'd8=Q+', 'Kxd8', 'Rxc5', 'Rxd3+', 'Kh4', 'Rc3', 'Rb5', 'b3', 'Kh5', 'Rxh3+', 'Kg6', 'Rh2', 'Kf5', 'b2', 'Kf4', 'Nd3+', 'Kg3', 'Re2', 'Kf3', 'Re1', 'Rd5+', 'Ke7', 'Rb5', 'b1=Q', 'Rxb1', 'Rxb1', 'Ke3', 'Rg1', 'Kf3', 'Ne5+']",96
12,C50,,maximaan,Ronjih,547,389,0-1,900+10,Ronjih won by resignation,2025.06.09,"['e4', 'e5', 'Bc4', 'Nc6', 'Nf3', 'f6', 'a3', 'Nh6', 'h3', 'a5', 'd3', 'b6', 'Nc3', 'Nd4', 'Nxd4', 'exd4', 'Ne2', 'c6', 'Nxd4', 'b5', 'e5', 'bxc4', 'e6', 'dxe6', 'Nxc6', 'Qc7', 'Qf3', 'Bb7', 'Qe2', 'Bxc6', 'dxc4', 'Bxg2', 'Rg1', 'Bxh3', 'Qh5+', 'g6', 'Qxh3', 'Qe5+', 'Be3', 'Qxb2', 'Rd1', 'Qxa3', 'Qxe6+', 'Be7', 'Qc6+', 'Kf7', 'Qd5+', 'Kg7', 'Qc6', 'Bb4+', 'Bd2', 'Rhe8+', 'Kf1', 'Qh3+', 'Rg2', 'Qh1+', 'Rg1', 'Qxc6', 'Bxb4', 'axb4', 'c5']",61
13,B10,,Ronjih,maximaan,389,547,0-1,900+10,maximaan won by checkmate,2025.06.10,"['e4', 'c6', 'd3', 'd5', 'c4', 'e6', 'f3', 'Bd6', 'h4', 'Nf6', 'Ne2', 'Nh5', 'g4', 'Ng3', 'Nxg3', 'Bxg3+', 'Kd2', 'd4', 'Rh3', 'Bxh4', 'b3', 'e5', 'Ke2', 'c5', 'Ba3', 'b6', 'Nd2', 'Qg5', 'Rh1', 'Qe3#']",30
14,B13,,siisiainen,maximaan,486,557,0-1,900+10,maximaan won by resignation,2025.06.10,"['e4', 'c6', 'd4', 'd5', 'exd5', 'cxd5', 'Nc3', 'Nc6', 'Nf3', 'e6', 'Bb5', 'Bd7', 'O-O', 'Bd6', 'Ne5', 'Nxe5', 'Bxd7+', 'Qxd7', 'dxe5', 'Bxe5', 'f4', 'Bxc3', 'bxc3', 'Rc8', 'Qd2', 'Qc7', 'Bb2', 'Qc5+', 'Rf2', 'Nf6', 'f5', 'Ne4']",32
15,B12,,elsaydmosaed,maximaan,575,566,0-1,900+10,maximaan won by checkmate,2025.06.11,"['e4', 'c6', 'd4', 'd5', 'e5', 'b6', 'Nd2', 'c5', 'Ngf3', 'cxd4', 'Nxd4', 'e6', 'f4', 'Bb7', 'Bb5+', 'Nd7', 'O-O', 'Bc5', 'c3', 'Ne7', 'b4', 'Bxd4+', 'cxd4', 'Bc6', 'Bxc6', 'Nxc6', 'b5', 'Nxd4', 'a4', 'O-O', 'Nb3', 'Nxb3', 'Qxb3', 'Nc5', 'Qg3', 'Ne4', 'Qg4', 'f6', 'f5', 'fxe5', 'f6', 'Nxf6', 'Qg3', 'Ne4', 'Qxe5', 'Rxf1+', 'Kxf1', 'Qf8+', 'Kg1', 'Qf2+', 'Kh1', 'Qf1#']",52
16,A45,,maximaan,EkTo27,558,571,0-1,900+10,EkTo27 won by resignation,2025.06.11,"['d4', 'd5', 'Bf4', 'e6', 'e3', 'Nf6', 'Bd3', 'Bd6', 'Bxd6', 'Qxd6', 'Nf3', 'O-O', 'Nc3', 'Bd7', 'Ne5', 'c5', 'Nb5', 'Bxb5', 'Bxb5', 'cxd4', 'exd4', 'Qb4+', 'c3', 'Qxb5', 'Nd3', 'Ng4', 'O-O', 'h5', 'h3', 'Nf6', 'Nf4', 'g6', 'Re1', 'Qxb2', 'Nxe6', 'fxe6', 'Rxe6', 'Qxc3', 'Qf3', 'Qxa1+', 'Kh2', 'Qxd4', 'g4', 'Re8', 'Rxe8+', 'Nxe8', 'gxh5', 'gxh5', 'Qxh5', 'Nc6', 'Qg5+', 'Qg7', 'Qxd5+', 'Kh8', 'Qh5+', 'Qh7', 'Qxh7+', 'Kxh7', 'h4', 'b5', 'h5', 'Kh6', 'Kh3', 'Kxh5', 'f4', 'Kg6', 'Kg4', 'Kf6', 'a3', 'Rd8']",70
17,A40,,maximaan,Finladin934,566,553,1-0,900+10,maximaan won by checkmate,2025.06.14,"['d4', 'e6', 'Bf4', 'd6', 'e4', 'Nf6', 'Nd2', 'e5', 'dxe5', 'dxe5', 'Bxe5', 'Qe7', 'Ngf3', 'Bg4', 'Nc4', 'Nxe4', 'Qd4', 'Qb4+', 'c3', 'Qxb2', 'Rd1', 'Nxc3', 'Qd8#']",23
18,B10,,GrandMustachio,maximaan,465,345,1-0,180,GrandMustachio won by checkmate,2025.06.15,"['e4', 'c6', 'Nf3', 'd5', 'd3', 'e6', 'e5', 'Nd7', 'd4', 'f6', 'Bf4', 'Bb4+', 'c3', 'Be7', 'Bd3', 'f5', 'Qd2', 'h6', 'Na3', 'Bg5', 'c4', 'Nf8', 'cxd5', 'Qxd5', 'O-O', 'Ng6', 'Bxg5', 'hxg5', 'Nxg5', 'Nh4', 'f3', 'c5', 'dxc5', 'Qxc5+', 'Kh1', 'b6', 'Bb5+', 'Bd7', 'Qxd7+', 'Kf8', 'Nxe6#']",41
19,D00,,maximaan,JeffryJaque,259,362,0-1,180,JeffryJaque won on time,2025.06.15,"['d4', 'd5', 'Bf4', 'e6', 'e3', 'f6', 'Bd3', 'g5', 'Bg3', 'h5', 'h3', 'h4', 'Bh2', 'Nc6', 'Nf3', 'Bd7', 'Nc3', 'Qe7', 'Nb5', 'O-O-O', 'Nxc7', 'f5', 'Ne5', 'Nxe5', 'Bxe5', 'Nf6', 'Bb5', 'Qb4+', 'c3', 'Qxb2', 'O-O', 'Bxb5', 'Nxb5', 'Qxb5', 'Rb1', 'Qd7', 'Bxf6', 'Rh6', 'Bxd8', 'Kxd8', 'Qb3', 'b6', 'c4', 'g4', 'cxd5', 'exd5', 'Rfc1', 'Rc6', 'Rxc6', 'Qxc6', 'Qd1', 'Bd6', 'hxg4', 'f4', 'g5', 'Qe8', 'Qg4', 'fxe3']",58
20,D00,,maximaan,Nekaloxi,331,258,1-0,180,maximaan won - game abandoned,2025.06.16,"['d4', 'd5', 'Bf4', 'e5', 'e3', 'exf4', 'exf4', 'f5', 'Nf3', 'Nc6', 'Ne5', 'Nxe5', 'dxe5', 'Bc5', 'Nc3', 'd4', 'Nb5', 'c6', 'Nd6+', 'Kd7', 'Nf7', 'Qf8', 'Nxh8', 'Ne7', 'Bd3']",25
21,B15,,mrstiven9,maximaan,348,274,1-0,180,mrstiven9 won on time,2025.06.16,"['e4', 'c6', 'Nc3', 'd5', 'd4', 'e6', 'a3', 'f6', 'Qh5+', 'g6', 'Qf3', 'e5', 'Be3', 'exd4', 'Bxd4', 'Na6', 'Bxf6', 'Nxf6', 'Bxa6', 'bxa6', 'exd5', 'cxd5', 'Nxd5', 'Bb7', 'Qe3+', 'Be7', 'Nxf6+', 'Kf7', 'Qb3+', 'Kxf6', 'Qxb7', 'Re8', 'Qc6+', 'Kf7', 'Qxa6', 'Bf6+', 'Ne2', 'Bxb2', 'Rb1', 'Bc3+', 'Kf1', 'Qd2', 'Qc4+', 'Kg7', 'Qxc3+']",45
22,D31,,siisiainen,maximaan,609,557,1-0,900+10,siisiainen won by checkmate,2025.06.16,"['c4', 'c6', 'Nc3', 'd5', 'd4', 'e6', 'e3', 'b6', 'Bd3', 'c5', 'cxd5', 'exd5', 'e4', 'Bb7', 'Nxd5', 'Bxd5', 'exd5', 'Qxd5', 'Qe2+', 'Be7', 'Be4', 'Qxd4', 'Nf3', 'Qb4+', 'Bd2', 'Qa4', 'Bxa8', 'Nf6', 'O-O', 'O-O', 'Qxe7', 'Re8', 'Qc7', 'Nbd7', 'Bc6', 'Qa6', 'Bxd7', 'Nd5', 'Qd6', 'Nf6', 'Bxe8', 'Nxe8', 'Qd8', 'h6', 'Qxe8+', 'Kh7', 'Qxf7', 'Qe2', 'Rae1', 'Qd3', 'Ng5+', 'hxg5', 'Qh5+', 'Kg8', 'Re8#']",55
23,D02,,maximaan,siisiainen,566,519,1-0,900+10,maximaan won by resignation,2025.06.16,"['d4', 'd5', 'Bf4', 'Nf6', 'e3', 'Nc6', 'Nf3', 'Bg4', 'h3', 'Bxf3', 'Qxf3', 'h6', 'g3', 'g5', 'Be5', 'Bg7', 'g4', 'Ne4', 'Bxg7']",19
24,B13,,lamez34,maximaan,261,323,0-1,180,maximaan won - game abandoned,2025.06.16,"['d4', 'c6', 'e4', 'd5', 'exd5', 'cxd5', 'Nc3', 'e6', 'Bb5+', 'Bd7', 'Bxd7+', 'Qxd7', 'Nf3', 'Bd6', 'Bg5', 'Nf6', 'Bxf6', 'gxf6', 'O-O', 'Nc6', 'Qd3', 'e5', 'Rad1', 'Nxd4', 'Nxd4', 'exd4', 'Qxd4', 'Be5', 'Qh4', 'Rd8', 'Nxd5', 'Qc6', 'Rfe1', 'Rxd5', 'Rxd5', 'Qxd5', 'f4', 'O-O', 'fxe5', 'fxe5', 'Qg4+', 'Kh8', 'Rf1', 'f6', 'c4', 'Qc5+', 'Kh1', 'f5']",48
25,D02,,maximaan,Didier-Fabian,279,329,0-1,180,Didier-Fabian won on time,2025.06.16,"['d4', 'd5', 'Bf4', 'Nf6', 'e3', 'Nc6', 'Nf3', 'Bg4', 'Be2', 'Bxf3', 'Bxf3', 'e6', 'h3', 'Bd6', 'O-O', 'Bxf4', 'exf4', 'Qd6', 'Nc3', 'Qxf4', 'a4', 'O-O', 'a5', 'b6', 'axb6', 'axb6', 'Rxa8', 'Rxa8', 'Nb5', 'Nxd4', 'Nxd4', 'e5', 'Nc6', 'Ra2', 'Bxd5', 'Nxd5', 'Qxd5', 'h6', 'Qxa2', 'Qe4', 'Ne7+', 'Kh7', 'Nd5', 'Qxc2', 'Nxc7', 'Qxc7', 'b4', 'b5', 'Qb1+', 'g6', 'Rc1', 'Qe7', 'Rc5', 'Qe6', 'Rxb5', 'Qd7', 'Rxe5', 'f6', 'Re1', 'Qd2', 'b5', 'Qd5', 'b6', 'Qb7', 'Re7+', 'Qxe7', 'b7', 'Qxb7', 'Qxb7+', 'Kg8', 'Qb8+', 'Kh7', 'h4', 'g5', 'Qb7+', 'Kg6', 'hxg5', 'Kxg5', 'Qb1', 'Kh5', 'Qe4', 'Kg5', 'f4+', 'Kh4']",84
26,B10,,Levy-Ramos,maximaan,280,239,1-0,180,Levy-Ramos won on time,2025.06.17,"['e4', 'c6', 'Nc3', 'd5', 'Nf3', 'e6', 'd4', 'Nd7', 'e5', 'Bb4', 'Bg5', 'f6', 'exf6', 'gxf6', 'Bh4', 'c5', 'Ne5', 'cxd4', 'Bxf6', 'Qxf6', 'Qxd4', 'Nxe5', 'Qxb4', 'Ng4', 'f3', 'Ne3', 'Be2', 'Nxc2+', 'Kd2', 'Nxb4', 'a3', 'Nc6', 'Bb5', 'Qd4+', 'Kc2', 'e5', 'Rad1', 'Qf2+', 'Rd2', 'Qb6', 'Rxd5', 'Bd7', 'Rxe5+', 'Nge7', 'Nd5', 'Qxb5', 'Nc7+', 'Kf7', 'Nxb5', 'a6', 'Nc3', 'Nxe5', 'Nd5', 'Nxd5', 'Re1', 'Bf5+', 'Kd2', 'Nc4+', 'Kd1', 'Rhe8', 'Rxe8', 'Rxe8', 'Kc1', 'Nxb2', 'Kxb2', 'Ne3', 'Kc3', 'Nd5+', 'Kc4', 'Be6', 'Kd4', 'Nc3', 'Kxc3', 'Rd8', 'Kc2', 'a5', 'a4', 'b6', 'Kc3', 'b5', 'axb5', 'a4', 'b6', 'a3', 'Kc2', 'a2', 'Kb2']",87
27,B10,,SillyDuck3142,maximaan,210,272,0-1,180,maximaan won by resignation,2025.06.17,"['e4', 'c6', 'Nf3', 'd5', 'd4', 'e6', 'exd5', 'cxd5', 'Ne5', 'Bd6', 'Nc3', 'Bxe5', 'dxe5', 'Nd7', 'Bb5', 'a6', 'Ba4', 'b5', 'Bb3', 'Nxe5', 'a4', 'Ng4', 'axb5', 'Qb6', 'O-O', 'N8f6', 'Be3', 'Nxe3', 'fxe3', 'Qxe3+', 'Rf2', 'Ne4', 'Qd2', 'Nxd2']",34
28,B10,,siisiainen,maximaan,202,298,0-1,180,maximaan won by resignation,2025.06.17,"['e4', 'c6', 'Nf3', 'd5', 'exd5', 'cxd5', 'Nc3', 'e6', 'Bb5+', 'Bd7', 'Bxd7+', 'Qxd7', 'O-O', 'Bd6', 'a3', 'Nf6', 'h3', 'O-O', 'd4', 'h6', 'Qd3', 'Nc6', 'g4', 'e5', 'dxe5', 'Nxe5', 'Nxe5', 'Bxe5', 'h4', 'Rfd8', 'g5', 'hxg5', 'Bxg5', 'd4', 'Bxf6', 'gxf6', 'Ne4', 'f5', 'Ng5', 'f6', 'Rfe1', 'Rac8', 'c4', 'fxg5', 'Rxe5', 'Re8', 'Rae1', 'Rxe5', 'Rxe5', 'Re8', 'Rxf5', 'gxh4', 'Rg5+', 'Kf8', 'Qf5+', 'Qxf5', 'Rxf5+', 'Ke7', 'Re5+', 'Kd8', 'Rxe8+', 'Kxe8', 'f4', 'h3', 'Kh2', 'd3', 'Kxh3', 'd2', 'Kg4', 'd1=Q+', 'Kg5', 'Qd4', 'f5', 'Qxc4', 'f6', 'Qf7', 'b4', 'Qd5+', 'Kg6', 'Qg2+', 'Kf5', 'Qc2+', 'Ke6', 'Qb3+', 'Kf5', 'Qxa3', 'Kg6', 'Qxb4', 'f7+', 'Kf8', 'Kf6', 'Qe7+', 'Kg6', 'Qxf7+', 'Kh6', 'a6']",96
29,D00,,maximaan,siisiainen,320,196,1-0,180,maximaan won by resignation,2025.06.17,"['d4', 'd5', 'Bf4', 'Nc6', 'e3', 'Nf6', 'Bd3', 'h6', 'Nf3', 'g5', 'Bg3', 'Bg7', 'h3', 'Be6', 'Ne5', 'Nxe5', 'dxe5', 'Ne4', 'Bxe4', 'dxe4', 'Nc3', 'Qxd1+', 'Rxd1', 'Bxa2', 'Nxa2', 'O-O', 'O-O', 'Rfd8', 'Rxd8+', 'Rxd8', 'Nc3', 'h5', 'Nxe4', 'h4', 'Bh2', 'a5', 'Nxg5', 'Bxe5']",38
30,B10,,siisiainen,maximaan,191,338,0-1,180,maximaan won by checkmate,2025.06.17,"['e4', 'c6', 'Nf3', 'd5', 'Ne5', 'Nh6', 'exd5', 'cxd5', 'Bb5+', 'Bd7', 'Bxd7+', 'Nxd7', 'Nxd7', 'Qxd7', 'Qh5', 'Nf5', 'O-O', 'Nd4', 'Na3', 'Qe6', 'c3', 'Ne2+', 'Kh1', 'Nf4', 'Qf3', 'Qe2', 'Qxf4', 'Qxf1#']",28
